UNITID,F1A13,F1A18
178420,100389251,289881794
178439,1024080819,355216957
178448,3592685,26889424
178466,,
178563,,
178615,79735798,229065010
178624,97949115,102142256
178828,,
179052,,
179238,,
179283,59941528,165691083
179344,1490349,17791754
179539,2322430,28860369
179557,129653523,281972995
179566,128781583,378002837
179645,8094339,15722405
179715,5778944,24281324
179724,,
179742,,
180151,5902240,8772365
180160,864992,5829467
180179,29199803,61244649
180197,21057780,17719957
180203,229323,8269670
180212,3065274,9177144
180249,3487730,23187804
180276,2555430,13552482
180328,1073483,18335045
180373,3159602,5814362
180416,21198007,52203358
180461,213516919,220347600
180489,204929641,178299176
180522,10377194,15582848
180692,10390776,10552661
180902,26951192,51350153
180948,9415699,36674690
181215,39851656,129171923
181303,24627503,105014791
181312,4614944,23961116
181394,159097073,202801206
181419,575736,5373671
181428,96627916,830985657
181464,439171820,963622573
181491,19870061,64779241
181534,5237755,39151847
181640,4383597,86132293
181747,22410274,103262111
181765,471326,5666491
181783,13600343,75756801
181817,14351566,20935287
182005,15865000,274021000
182281,307041000,827754000
182290,328353604,679339240
182306,3355000,45516000
182500,11601000,85783000
182519,6484000,48697000
182564,3198000,42986000
183044,376260304,629241490
183062,113283061,120715988
183071,1185877,1998887
183080,104187116,77774987
183099,5081420,45506180
183105,537513,10099832
183114,555123,8647266
183123,630287,13497129
183132,957968,25887664
183141,2465446,22840744
183150,1367996,26355505
183257,2814924,6451671
183327,89047540,53432393
183655,10454796,58626898
183743,33813271,140608022
183859,62792846,135049733
183877,19678097,99926649
183938,21299057,94674637
183983,,
184180,12077653,74164406
184205,3884657,52451116
184481,19500114,126611436
184782,409919973,172741633
184791,9000716,43694410
184995,10126869,92550016
185129,138998412,97696097
185262,369592390,165036052
185509,11517087,56373909
185536,19138323,87374335
185590,428065000,298590000
185828,201785000,192099000
185873,24931295,71554752
186034,7771016,58893901
186201,277975000,73831000
186380,1066870000,2426600000
186469,1052060,17247630
186645,9624382,67033503
186876,292407978,156793825
187046,14493750,48202142
187134,423536000,332001000
187198,27661817,98835621
187222,1067578000,483015000
187444,210366207,261555880
187532,67407224,224167940
187596,9055667,21224853
187620,2530816,51877320
187639,2838555,27121632
187648,25129062,89711656
187666,8027946,49326521
187745,12595372,52027416
187897,42924667,72621858
187903,6535532,73613487
187912,6747786,384906067
187958,,
187967,35167527,232945688
187976,,
187985,926504606,1454119219
187994,1173005,18168944
188003,713984,9583502
188021,296453,5428107
188030,245310448,436799651
188049,,
188058,2517745,28994444
188100,33054997,72204951
188137,32072141,76096635
188216,,
188225,,
188261,1061128,19376336
188304,10473369,40619395
188438,24991812,19843298
189547,38487670,14899135
189839,28455586,4182909
190035,1161127036,74488326
190053,17083526,-738943
190169,36847864,-6306793
190442,32148224,28337883
190512,422018173,-3064205
190521,150834234,83372230
190530,55114534,30808239
190549,332061445,47808992
190558,380186899,-139583337
190567,629438062,10334508
190576,216996129,-9521932
190585,95290495,-12181325
190594,305727729,109452961
190600,367869303,83804207
190619,67799808,54934923
190628,127692101,9398386
190637,183270570,12839970
190646,181677097,60544533
190655,107958544,-8306631
190664,363700189,46108865
190673,25677522,23382794
190682,67422672,4979868
190691,120312659,27521058
190840,78429287,1956148
191083,64044042,-6706447
191126,76819149,102498571
191199,15694794,33439908
191302,13909876,11083486
191339,14389692,31654017
191612,37097829,10352910
191719,147242121,32785536
191986,51535807,37819227
192022,32158896,5675338
193122,,
193283,53221252,16747124
193326,111745916,66862085
193478,443296657,-253681995
193946,65963272,-8461771
194028,3235757,4108736
194222,117030609,21234679
194240,128499095,1791575
194259,,
