UNITID,EFFYLEV,EFYTOTLT
119359,2,1484
119368,1,672
119368,2,672
119438,1,871
119438,2,871
119456,1,1404
119456,2,1404
119465,1,1129
119465,2,1129
119508,1,1540
119508,2,1540
119544,1,798
119544,2,546
119544,4,252
119553,1,837
119553,2,837
119605,1,27820
119605,2,11886
119605,4,15934
119678,1,4382
119678,4,4382
119775,1,711
119775,2,439
119775,4,272
119845,1,316
119845,2,316
119951,1,589
119951,2,589
120069,1,379
120069,2,379
120078,1,641
120078,2,641
120087,1,252
120087,2,252
120166,1,1395
120166,2,302
120166,4,1093
120184,1,2203
120184,2,1186
120184,4,1017
120254,1,2174
120254,2,2154
120254,4,20
120272,1,177
120272,2,177
120290,1,17973
120290,2,17973
120342,1,30841
120342,2,30841
120403,1,1298
120403,2,1197
120403,4,101
120421,1,10993
120421,2,10993
120537,1,1587
120537,2,1023
120537,4,564
120661,1,797
120661,2,797
120698,1,714
120698,2,114
120698,4,600
120740,1,144
120740,4,144
120768,1,665
120768,2,180
120768,4,485
120795,1,213
120795,4,213
120838,1,332
120838,2,25
120838,4,307
120865,1,1962
120865,2,1951
120865,4,11
120883,1,7310
120883,2,4020
120883,4,3290
120953,1,5745
120953,2,5745
120971,1,39116
120971,2,39116
121008,1,347
121008,2,347
121017,1,177
121017,2,177
121044,1,35756
121044,2,35756
121071,1,1164
121071,2,1096
121071,4,68
121150,1,8201
121150,2,3617
121150,4,4584
121257,1,1110
121257,2,1110
121275,1,380
121275,2,380
121309,1,4330
121309,2,2510
121309,4,1820
121345,1,1579
121345,2,1579
121363,1,6017
121363,2,6017
121381,1,1194
121381,2,1194
121433,1,250
121433,2,250
121619,1,48363
121619,2,48363
121628,1,122
121628,4,122
121637,1,100
121637,2,100
121691,1,5964
121691,2,3704
121691,4,2260
121707,1,9467
121707,2,9467
121859,1,258
121859,2,258
121868,1,151
121868,2,151
121877,1,351
121877,2,351
121886,1,30143
121886,2,30143
121901,1,30470
121901,2,30470
121983,1,1255
121983,2,218
121983,4,1037
121992,1,295
121992,2,295
122117,1,360
122117,2,101
122117,4,259
122180,1,37957
122180,2,37957
122205,1,37586
122205,2,37586
122296,1,1845
122296,2,933
122296,4,912
122339,1,29873
122339,2,29873
122366,1,541
122366,2,541
122375,1,40844
122375,2,40844
122384,1,23179
122384,2,23179
122409,1,34999
122409,2,29115
122409,4,5884
122436,1,9106
122436,2,5740
122436,4,3366
122454,1,735
122454,2,469
122454,4,266
122506,1,407
122506,2,195
122506,4,212
122597,1,32633
122597,2,27564
122597,4,5069
122603,1,385
122603,4,385
122612,1,11313
122612,2,6707
122612,4,4606
122649,1,213
122649,4,213
122658,1,25367
122658,2,25367
122685,1,2538
122685,2,2538
122694,1,1692
122694,2,1692
122728,1,964
122728,2,900
122728,4,64
122746,1,16994
122746,2,16994
122755,1,31575
122755,2,25151
122755,4,6424
122791,1,16105
122791,2,16105
122834,1,1561
122834,2,1561
122843,1,8525
122843,2,8264
122843,4,261
122852,1,536
122852,2,536
122889,1,27236
122889,2,27236
122931,1,10184
122931,2,5566
122931,4,4618
122977,1,46490
122977,2,46490
123013,1,36845
123013,2,36845
123095,1,776
123095,4,776
123165,1,1052
123165,2,1028
123165,4,24
123208,1,3115
123208,2,3115
123217,1,18665
123217,2,18665
123280,1,77
123280,2,55
123280,4,22
123299,1,13656
123299,2,13656
123341,1,26986
123341,2,26986
123350,1,216
123350,2,216
123396,1,214
123396,2,214
123448,1,223
123448,4,223
123457,1,1495
123457,2,1096
123457,4,399
123484,1,4467
123484,2,4467
123493,1,1638
123493,2,1638
123509,1,16298
123509,2,16298
123527,1,19105
123527,2,19105
123554,1,4357
123554,2,2965
123554,4,1392
123563,1,17920
123563,2,17920
123572,1,9013
123572,2,7817
123572,4,1196
123581,1,261
123581,2,261
123633,1,971
123633,2,464
123633,4,507
123642,1,602
123642,2,602
123651,1,2970
123651,2,2671
123651,4,299
123679,1,855
123679,2,855
123800,1,25907
123800,2,25907
123855,1,95
123855,4,95
123916,1,78
123916,4,78
123943,1,586
123943,4,586
123952,1,506
123952,2,268
123952,4,238
123961,1,40515
123961,2,18876
123961,4,21639
123970,1,1476
123970,4,1476
124113,1,16256
124113,2,16256
124283,1,436
124283,4,436
124292,1,361
124292,2,361
124344,1,338
124344,2,338
124487,1,397
124487,2,397
124681,1,22275
124681,2,22275
124706,1,918
124706,2,918
124779,1,62
124779,2,62
124937,1,802
124937,2,802
125028,1,21401
125028,2,21401
125037,1,116
125037,4,116
125082,1,252
125082,2,252
125091,1,18526
125091,2,18526
125170,1,11853
125170,2,11853
125231,1,71763
125231,2,14642
125231,4,57121
125301,1,2599
125301,2,2599
125462,1,4588
125462,2,4588
125471,1,17410
125471,2,17410
125499,1,18852
125499,2,18852
125532,1,2559
125532,2,2559
125718,1,174
125718,4,174
125727,1,1422
125727,2,1404
125727,4,18
125763,1,2514
125763,2,1570
125763,4,944
125897,1,2273
125897,2,1777
125897,4,496
126012,1,432
126012,4,432
126030,1,485
126030,4,485
126049,1,1231
126049,4,1231
126076,1,130
126076,2,130
126119,1,10718
126119,2,10718
126164,1,134
126164,2,134
126182,1,4151
126182,2,3132
126182,4,1019
126207,1,8071
126207,2,8071
126289,1,18336
126289,2,18336
126359,1,998
126359,2,998
126401,1,1184
126401,2,1184
126410,1,205
126410,2,205
126562,1,31972
126562,2,17042
126562,4,14930
126580,1,12729
126580,2,9050
126580,4,3679
126605,1,1251
126605,2,1251
126614,1,36946
126614,2,30058
126614,4,6888
126669,1,4229
126669,2,3716
126669,4,513
126678,1,2484
126678,2,2378
126678,4,106
126687,1,766
126687,2,766
126702,1,2925
126702,2,2925
126711,1,10740
126711,2,10740
126748,1,2319
126748,2,2319
126775,1,6709
126775,2,3962
126775,4,2747
126784,1,254
126784,2,254
126818,1,33712
126818,2,25042
126818,4,8670
126827,1,4359
126827,2,3052
126827,4,1307
126854,1,176
126854,2,176
126863,1,11652
126863,2,11652
126872,1,1298
126872,2,1298
126915,1,2165
126915,2,2165
126924,1,233
126924,2,233
126942,1,19455
126942,2,19455
126951,1,1607
126951,2,1607
126979,1,1156
126979,4,1156
127024,1,1151
127024,2,1151
127060,1,13879
127060,2,5900
127060,4,7979
127158,1,4738
127158,2,4738
127185,1,4191
127185,2,4191
127200,1,30268
127200,2,30268
127219,1,69
127219,2,69
127228,1,351
127228,2,351
127273,1,402
127273,4,402
127316,1,375
127316,2,375
127389,1,1370
127389,2,1370
127556,1,10010
127556,2,9840
127556,4,170
127565,1,29924
127565,2,29852
127565,4,72
127617,1,2865
127617,2,2865
127653,1,1194
127653,2,504
127653,4,690
127680,1,635
127680,2,635
127699,1,653
127699,2,653
127714,1,1396
127714,2,1396
127732,1,3062
127732,2,3062
127741,1,15503
127741,2,11619
127741,4,3884
127778,1,2317
127778,2,2317
127787,1,1342
127787,2,1342
127820,1,21987
127820,2,21987
127839,1,787
127839,2,787
127884,1,12224
127884,2,12224
127909,1,15229
127909,2,15229
127918,1,14706
127918,2,7123
127918,4,7583
127945,1,835
127945,2,835
127954,1,78
127954,2,18
127954,4,60
128106,1,13665
128106,2,7398
128106,4,6267
128151,1,1596
128151,2,1596
128179,1,582
128179,2,582
128188,1,848
128188,2,848
128258,1,2910
128258,2,2910
128328,1,4629
128328,2,4629
128337,1,251
128337,2,251
128391,1,2588
128391,2,2479
128391,4,109
128425,1,24
128425,2,22
128425,4,2
128498,1,2514
128498,2,1968
128498,4,546
128540,1,152
128540,2,152
128577,1,2685
128577,2,2685
128586,1,82
128586,2,82
128674,1,992
128674,2,992
128683,1,1446
128683,2,1446
128726,1,228
128726,2,228
128744,1,6201
128744,2,3076
128744,4,3125
128762,1,415
128762,2,415
128771,1,15391
128771,2,11868
128771,4,3523
128780,1,3235
128780,2,3235
128896,1,552
128896,2,552
128902,1,2087
128902,2,2079
128902,4,8
128957,1,281
128957,2,281
129002,1,792
129002,2,792
129020,1,27648
129020,2,18461
129020,4,9187
129154,1,4169
129154,2,4169
129181,1,1977
129181,2,1977
129215,1,6551
129215,2,6114
129215,4,437
129242,1,5802
129242,2,4279
129242,4,1523
129349,1,333
129349,2,333
129367,1,6514
129367,2,6514
129428,1,514
129428,4,514
129482,1,676
129482,2,676
129491,1,219
129491,4,219
129525,1,8695
129525,2,6288
129525,4,2407
129534,1,479
129534,2,67
129534,4,412
129543,1,9008
129543,2,9008
129613,1,489
129613,2,489
129640,1,53
129640,2,53
129686,1,93
129686,2,89
129686,4,4
129695,1,10524
129695,2,10524
129729,1,9837
129729,2,9837
129756,1,4424
129756,2,4424
129774,1,1093
129774,2,1093
129808,1,6832
129808,2,6832
129923,1,1406
129923,2,1406
129932,1,981
129932,2,981
129941,1,6981
129941,2,4751
129941,4,2230
129969,1,567
129969,2,567
130004,1,9288
130004,2,9288
130040,1,2506
130040,2,2506
130110,1,241
130110,2,241
130129,1,193
130129,2,193
130174,1,6018
130174,2,6018
130183,1,8128
130183,2,6978
130183,4,1150
130217,1,3191
130217,2,3191
130226,1,9116
130226,2,6413
130226,4,2703
130253,1,7662
130253,2,4862
130253,4,2800
130314,1,2879
130314,2,1179
130314,4,1700
130396,1,10706
130396,2,10706
130448,1,699
130448,2,699
130493,1,14217
130493,2,9983
130493,4,4234
130509,1,636
130509,2,636
130581,1,169
130581,4,169
130590,1,2602
130590,2,2453
130590,4,149
130606,1,6619
130606,2,6619
130624,1,1017
130624,2,1017
130697,1,3514
130697,2,3055
130697,4,459
130776,1,7872
130776,2,7000
130776,4,872
130785,1,12
130785,4,12
130794,1,12893
130794,2,6446
130794,4,6447
130837,1,58
130837,2,58
130873,1,1501
130873,2,1501
130891,1,6427
130891,2,6427
130907,1,4820
130907,2,4820
130916,1,10406
130916,2,10406
130934,1,4099
130934,2,3619
130934,4,480
130943,1,23239
130943,2,19071
130943,4,4168
130989,1,1565
130989,2,848
130989,4,717
131061,1,233
131061,2,233
131098,1,2337
131098,2,2133
131098,4,204
131113,1,14769
131113,2,8821
131113,4,5948
131159,1,13618
131159,2,7595
131159,4,6023
131283,1,7536
131283,2,3751
131283,4,3785
131308,1,1037
131308,2,762
131308,4,275
131399,1,12440
131399,2,11995
131399,4,445
131405,1,92
131405,4,92
131450,1,1727
131450,2,1222
131450,4,505
131469,1,29887
131469,2,11503
131469,4,18384
131496,1,20320
131496,2,9695
131496,4,10625
131520,1,11115
131520,2,7496
131520,4,3619
131742,1,2633
131742,2,2633
131803,1,3492
131803,2,2579
131803,4,913
131830,1,46
131830,2,46
131876,1,2771
131876,2,1860
131876,4,911
131973,1,763
131973,4,763
132268,1,1574
132268,2,1574
132338,1,3990
132338,2,3990
132374,1,3318
132374,2,3318
132408,1,768
132408,2,740
132408,4,28
132471,1,11200
132471,2,5930
132471,4,5270
132523,1,53
132523,4,53
132602,1,3822
132602,2,3785
132602,4,37
132657,1,2589
132657,2,1937
132657,4,652
132666,1,190
132666,2,190
132675,1,296
132675,2,296
132693,1,25283
132693,2,25283
132709,1,60085
132709,2,60085
132806,1,798
132806,2,798
132842,1,1373
132842,2,457
132842,4,916
132851,1,12325
132851,2,12325
132879,1,376
132879,2,376
132903,1,66273
132903,2,55378
132903,4,10895
132976,1,491
132976,2,491
133021,1,2963
133021,2,2963
133085,1,628
133085,2,611
133085,4,17
133155,1,1035
